server,bus1,bus2,bus3,bus4,bus5,bus6
475,40,53,49,69,18,296
519,14,13,53,74,42,285
513,10,12,48,139,143,135
534,24,12,75,101,128,126
514,22,16,67,117,121,143
502,15,12,65,142,109,155
531,11,12,69,84,33,260
512,12,18,81,42,25,310
521,15,24,72,74,46,248
494,18,18,87,94,85,204
489,17,35,119,117,86,137
492,31,96,67,41,31,242
459,116,150,31,51,39,154
462,128,164,43,44,90,69
426,51,151,103,132,97,40
418,20,156,99,160,100,47
473,34,168,24,91,39,171
497,25,152,11,71,22,222
470,98,126,15,24,16,251
495,149,72,13,16,10,245
500,148,94,15,7,15,221
500,136,107,15,18,16,208
499,94,117,30,26,31,203
460,29,73,57,117,40,224
497,15,79,35,93,26,255
506,18,38,14,11,18,395
506,21,22,10,18,13,410
503,26,32,9,11,19,400
501,21,56,20,13,17,372
504,24,118,8,20,17,309
486,42,94,65,26,14,273
459,31,22,134,115,105,134
475,25,44,43,164,103,146
505,25,20,78,152,74,146
486,13,21,62,177,104,137
508,41,20,42,77,61,251
493,57,10,28,18,24,370
502,54,29,69,32,23,291
466,30,20,99,157,122,106
481,21,23,115,158,108,94
486,16,15,68,156,127,132
488,29,11,89,110,123,150
513,39,18,19,15,17,379
506,21,23,15,19,17,399
498,31,38,19,17,15,382
493,30,89,63,20,16,289
462,18,159,28,23,17,293
488,18,170,26,27,16,255
477,23,173,17,17,17,276
488,26,132,29,17,16,292
510,81,59,14,25,20,291
489,129,68,13,21,19,261
468,124,191,23,16,24,154
491,79,181,14,24,8,203
488,62,178,14,13,16,229
502,61,161,10,17,18,231
496,37,65,26,62,18,296
495,16,50,51,56,14,318
507,49,17,28,38,13,348
515,138,18,6,9,22,292
511,151,22,15,17,12,272
509,147,16,9,13,19,287
518,37,43,21,16,18,347
520,55,31,19,11,14,350
505,19,13,12,94,24,333
471,10,31,16,115,121,236
442,16,51,81,158,111,141
441,19,44,95,168,139,94
466,2,51,81,152,143,105
475,15,52,24,169,112,153
487,19,50,13,128,82,221
